tokenizer,language,code,tokens,words,fertility,parity
Sarvam-1 (IN),English,eng_Latn,40507,25347,1.5980983942872924,1.0
Sarvam-1 (IN),Hindi,hin_Deva,44525,29541,1.5072272434920957,1.0991927321203743
Sarvam-1 (IN),Bengali,ben_Beng,52338,21856,2.3946742313323575,1.2920729750413509
Sarvam-1 (IN),Marathi,mar_Deva,43040,22262,1.9333393226125235,1.062532401807095
Sarvam-1 (IN),Telugu,tel_Telu,47516,19970,2.3793690535803704,1.1730318216604538
Sarvam-1 (IN),Tamil,tam_Taml,48930,20235,2.418087472201631,1.2079393685042092
Sarvam-1 (IN),Gujarati,guj_Gujr,49940,23283,2.144912597173904,1.232873330535463
Sarvam-1 (IN),Urdu,urd_Arab,276672,32181,8.597371119604736,6.830226874367393
Sarvam-1 (IN),Kannada,kan_Knda,52769,18814,2.8047730413521847,1.302713111314094
Sarvam-1 (IN),Odia,ory_Orya,68230,23934,2.850756246344113,1.6844002271212384
Sarvam-1 (IN),Malayalam,mal_Mlym,57813,17046,3.3915874692009855,1.427234798923643
Sarvam-1 (IN),Punjabi,pan_Guru,53649,28924,1.8548264417093072,1.3244377514997407
Sarvam-1 (IN),Assamese,asm_Beng,105086,23142,4.5409212686889635,2.5942676574419234
Sarvam-1 (IN),Maithili,mai_Deva,55032,24759,2.2227068944626196,1.3585799985187745
Sarvam-1 (IN),Sanskrit,san_Deva,69725,16544,4.214518858800774,1.721307428345718
Sarvam-1 (IN),Nepali,npi_Deva,56730,21350,2.657142857142857,1.400498679240625
Sarvam-1 (IN),Kashmiri,kas_Arab,294813,28480,10.351580056179776,7.27807539437628
Sarvam-1 (IN),Sindhi,snd_Deva,73599,29219,2.5188747048153597,1.8169452193448046
Sarvam-1 (IN),Konkani,gom_Deva,58732,21294,2.758147835070912,1.4499222356629717
Sarvam-1 (IN),Dogri,doi_Deva,66678,29324,2.2738371299959077,1.6460858617029155
Sarvam-1 (IN),Bodo,brx_Deva,76034,21353,3.5608111272420735,1.8770582862221346
Sarvam-1 (IN),Manipuri,mni_Mtei,407858,23421,17.41420093078861,10.068827610042709
Sarvam-1 (IN),Santali,sat_Olck,443357,26676,16.620070475333634,10.94519465771348
Sarvam-30B (IN),English,eng_Latn,33896,25347,1.3372785734011914,1.0
Sarvam-30B (IN),Hindi,hin_Deva,43862,29541,1.4847838597203886,1.2940169931555345
Sarvam-30B (IN),Bengali,ben_Beng,39927,21856,1.826821010248902,1.1779265990087326
Sarvam-30B (IN),Marathi,mar_Deva,47263,22262,2.1230347677656995,1.3943533160254897
Sarvam-30B (IN),Telugu,tel_Telu,50968,19970,2.5522283425137706,1.5036582487609158
Sarvam-30B (IN),Tamil,tam_Taml,52258,20235,2.5825549789967877,1.541715836676894
