language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,nf4,0.03541800633049308,0.031546826631022463,0.03895582347046006,4.195920558947064,3.745325284625697,4.606623427268231
Hindi,nf4,0.0757821084983088,0.07015778580981873,0.08122493971477304,7.085136421342586,6.540576557311455,7.605082699154053
Bengali,nf4,0.19096501653842202,0.1825612232605087,0.1998087922693091,8.94565846335622,8.539150435208105,9.35344575168883
Marathi,nf4,0.10427208519930464,0.0961374205506363,0.11191107393060087,5.487179225306704,5.044849898261335,5.912617738949509
Gujarati,nf4,0.2799872647148982,0.2692481551614059,0.290352183942137,10.477111607964895,10.047493665096669,10.90169228294386
Punjabi,nf4,0.217477815335974,0.20892917643020892,0.2263841896001762,7.875614019611321,7.544957460280409,8.225743655544017
Odia,nf4,0.40525718822747825,0.3953934602404147,0.4156476960624039,14.69623615928677,14.304801617170767,15.096528080279777
Tamil,nf4,0.19623468065748795,0.1888832410103223,0.2035981088682124,11.479925935299695,11.049854137102615,11.904453192298185
Telugu,nf4,0.17833230812470147,0.1694023531404264,0.1869360643184675,8.703788509689936,8.252664191013332,9.140168532464473
Kannada,nf4,0.31915555506516213,0.30925716235420236,0.3290420770412357,8.81080460262471,8.526726496791158,9.089068809967703
Malayalam,nf4,0.22767136025434231,0.2172370478699113,0.2379987332705352,10.588221870719172,10.115689672275384,11.042864181990899
