model,language,chrf_bf16,chrf_nf4,drop,lo,hi,nll_dmg,parity
gemma-3-1b-pt,Hindi,47.697488070002194,46.342140247615774,1.3553478223864226,-0.03085976979921243,2.830603093801233,0.0304871820373004,1.2879684418145956
gemma-3-1b-pt,Bengali,43.48105000583538,40.16841231054873,3.3126376952866563,1.3420584915899416,5.0186074058555095,0.0262744272948192,1.160552268244576
gemma-3-1b-pt,Tamil,39.073184193102975,37.08834324793206,1.9848409451709257,0.33298717602487965,3.676585296209842,0.0386684766597574,1.5229454306377384
gemma-3-1b-pt,Telugu,38.2378131053534,36.86160048614752,1.3762126192058761,-0.47604872550259925,3.12916158525713,0.0640243917790404,1.7956607495069032
gemma-3-1b-pt,Odia,17.74919933158627,15.871992087777235,1.8772072438090308,0.9085807295824816,2.8999172176890964,0.1180560934054684,3.814201183431953
Llama-3.2-1B,Hindi,42.803203220667314,40.989375619761944,1.8138276009053746,0.17726460994000037,3.484930132869607,0.0556182247750431,2.518075422626788
Llama-3.2-1B,Bengali,28.61632464631151,23.30066215012139,5.31566249619012,3.555963723143214,7.086520956568029,0.2442824032087587,5.618725617685306
Llama-3.2-1B,Tamil,22.373130207105103,16.976511897902892,5.3966183092022115,4.114070283587433,6.748990191127759,0.2967775130414527,7.768400520156047
Llama-3.2-1B,Telugu,22.194057453783586,19.445586840970428,2.748470612813155,1.2676140324127767,4.184037568890289,0.3592423501040935,8.36254876462939
Llama-3.2-1B,Odia,18.221502622599356,16.588760251739817,1.632742370859535,0.4399296236799251,2.7457729788048253,0.4568992812504093,13.033420026007802
sarvam-1,Hindi,39.92526255672344,35.19574531404531,4.729517242678132,2.8958170732341078,6.542485435635677,0.0204771317775893,1.1210355261683291
sarvam-1,Bengali,33.96961259619805,29.72026858948202,4.249344006716025,2.1600954309702893,6.406599376750569,0.0370023734679159,1.311778549815085
sarvam-1,Tamil,33.12108709030901,29.434179790121412,3.686907300187598,1.7451061861155517,5.663538371779135,0.0076243781700744,1.2217863947102992
sarvam-1,Telugu,33.47427163638844,30.522362212858138,2.9519094235302976,0.815762615671314,5.142336473340186,0.0507510908339308,1.1856998767230753
sarvam-1,Odia,37.319340350901854,32.08954957159193,5.229790779309917,3.3714728522513204,7.027526419684384,0.0495962649616892,1.6844110725092458
pragna-1b,Hindi,28.85039161692581,25.359880150469735,3.490511466456074,2.125501536014899,4.930429424400963,0.1089351336033679,1.2455398576879446
pragna-1b,Bengali,24.694679820846055,20.393187793424183,4.301492027421873,2.805622219994804,6.009942953257658,0.1365840584742532,1.5790450654841703
pragna-1b,Tamil,14.953938231106518,13.138904468860494,1.8150337622460246,1.085293267700105,2.6311003376811555,0.0908142934218707,1.2867897287820975
pragna-1b,Telugu,13.10368578726808,12.964882498517047,0.13880328875103248,-0.3467488145081679,0.6141185996512968,0.617993740771666,3.78539754563267
pragna-1b,Odia,12.854531605527308,10.847051484931708,2.0074801205956,1.3489256643164544,2.7172722348579716,0.361562984734777,4.158193255646076
Qwen3-1.7B-Base,Hindi,44.80321049879344,39.98852887279552,4.814681625997922,3.0885289471307877,6.538735568349936,0.1434373555182773,4.397416218981837
Qwen3-1.7B-Base,Bengali,39.68968050882907,35.28774180248426,4.401938706344814,2.7338116759223725,6.057507457073972,0.1634319449796142,4.905858275773856
Qwen3-1.7B-Base,Tamil,33.92385680652627,28.980575732866054,4.94328107366022,3.3016178994660845,6.700630264555041,0.1488824359747083,6.183167050396521
Qwen3-1.7B-Base,Telugu,34.81341064586216,29.706520085728467,5.1068905601336905,3.538482005947165,6.752511647198185,0.1652176057997998,7.041187004348938
Qwen3-1.7B-Base,Odia,37.72407125515723,31.392435405150895,6.331635850006329,4.657394670936816,7.987590361920905,0.1663982529562229,10.3805321053978
