model,language,parity256,dmg,eng
Llama-3.2-1B,English,1.0,0.0136351381495728,0.0136351381495728
Llama-3.2-1B,Hindi,2.518075422626788,0.0556182247750431,0.0136351381495728
Llama-3.2-1B,Bengali,5.618725617685306,0.2442824032087587,0.0136351381495728
Llama-3.2-1B,Marathi,2.7864759427828347,0.1117023398997025,0.0136351381495728
Llama-3.2-1B,Gujarati,7.481794538361508,0.2907796427794289,0.0136351381495728
Llama-3.2-1B,Punjabi,6.708192457737321,0.2717168916592039,0.0136351381495728
Llama-3.2-1B,Odia,13.033420026007802,0.4568992812504093,0.0136351381495728
Llama-3.2-1B,Tamil,7.768400520156047,0.2967775130414527,0.0136351381495728
Llama-3.2-1B,Telugu,8.36254876462939,0.3592423501040935,0.0136351381495728
Llama-3.2-1B,Kannada,9.326007802340703,0.3376386339341863,0.0136351381495728
Llama-3.2-1B,Malayalam,9.237581274382315,0.3215428018013073,0.0136351381495728
Llama-3.2-3B,English,1.0,0.0081650406012351,0.0081650406012351
Llama-3.2-3B,Hindi,2.518075422626788,0.016903380245054,0.0081650406012351
Llama-3.2-3B,Bengali,5.618725617685306,0.0602687188168171,0.0081650406012351
Llama-3.2-3B,Marathi,2.7864759427828347,0.0445751740735442,0.0081650406012351
Llama-3.2-3B,Gujarati,7.481794538361508,0.0835868357361249,0.0081650406012351
Llama-3.2-3B,Punjabi,6.708192457737321,0.0726738095526327,0.0081650406012351
Llama-3.2-3B,Odia,13.033420026007802,0.1246691969645419,0.0081650406012351
Llama-3.2-3B,Tamil,7.768400520156047,0.085619149036821,0.0081650406012351
Llama-3.2-3B,Telugu,8.36254876462939,0.0806864021948776,0.0081650406012351
Llama-3.2-3B,Kannada,9.326007802340703,0.088485671415905,0.0081650406012351
Llama-3.2-3B,Malayalam,9.237581274382315,0.0924088184801315,0.0081650406012351
sarvam-1,English,1.0,0.0483568784122155,0.0483568784122155
sarvam-1,Hindi,1.1210355261683291,0.0204771317775893,0.0483568784122155
sarvam-1,Bengali,1.3117785498150847,0.0370023734679159,0.0483568784122155
sarvam-1,Marathi,1.1126302812955284,0.0179965563418815,0.0483568784122155
sarvam-1,Gujarati,1.232881317942396,0.0390482427496423,0.0483568784122155
sarvam-1,Punjabi,1.3609772498038777,0.0563742487710285,0.0483568784122155
sarvam-1,Odia,1.6844110725092458,0.0495962649616892,0.0483568784122155
sarvam-1,Tamil,1.2217863947102992,0.0076243781700744,0.0483568784122155
sarvam-1,Telugu,1.1856998767230753,0.0507510908339308,0.0483568784122155
sarvam-1,Kannada,1.3053905637117562,0.0391447698269673,0.0483568784122155
sarvam-1,Malayalam,1.4851507340580523,0.0386232435935308,0.0483568784122155
gemma-3-1b-pt,English,1.0,0.0155415146773961,0.0155415146773961
gemma-3-1b-pt,Hindi,1.2879684418145956,0.0304871820373004,0.0155415146773961
gemma-3-1b-pt,Bengali,1.160552268244576,0.0262744272948192,0.0155415146773961
