model,precision,language,nll_per_char,vram_gb,increase_vs_bf16_pct
Qwen/Qwen3-1.7B-Base,bf16,English,0.6375833692143879,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Hindi,1.0156531782238323,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Bengali,1.1597589557940577,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Marathi,1.2450385589648045,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Gujarati,1.2759334765450665,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Punjabi,1.5800284797761932,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Odia,1.3148361302205342,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Tamil,1.0118045247698924,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Telugu,1.2272917163239627,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Kannada,1.182071798010164,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,bf16,Malayalam,1.128222925471364,3.2053232192993164,0.0
Qwen/Qwen3-1.7B-Base,int8,English,0.6445971503014185,1.9028940200805664,1.1000570945997046
Qwen/Qwen3-1.7B-Base,int8,Hindi,1.0293788795057714,1.9028940200805664,1.3514161700298732
Qwen/Qwen3-1.7B-Base,int8,Bengali,1.1930686939627757,1.9028940200805664,2.8721259708584634
Qwen/Qwen3-1.7B-Base,int8,Marathi,1.2664048105380532,1.9028940200805664,1.7161116352102157
Qwen/Qwen3-1.7B-Base,int8,Gujarati,1.3108494853389676,1.9028940200805664,2.7365069916063023
Qwen/Qwen3-1.7B-Base,int8,Punjabi,1.608540584812507,1.9028940200805664,1.8045310829050587
Qwen/Qwen3-1.7B-Base,int8,Odia,1.3416801471641056,1.9028940200805664,2.0416245284550216
Qwen/Qwen3-1.7B-Base,int8,Tamil,1.0336553709088412,1.9028940200805664,2.159591660643967
Qwen/Qwen3-1.7B-Base,int8,Telugu,1.2509302537083613,1.9028940200805664,1.9260732448518336
Qwen/Qwen3-1.7B-Base,int8,Kannada,1.200316185337137,1.9028940200805664,1.5434246344159908
Qwen/Qwen3-1.7B-Base,int8,Malayalam,1.1477464791645795,1.9028940200805664,1.7304695067296816
Qwen/Qwen3-1.7B-Base,nf4,English,0.6989436977721943,1.3261442184448242,9.62389101105523
Qwen/Qwen3-1.7B-Base,nf4,Hindi,1.1590905337421096,1.3261442184448242,14.122670867738485
Qwen/Qwen3-1.7B-Base,nf4,Bengali,1.323190900773672,1.3261442184448242,14.091889022552673
Qwen/Qwen3-1.7B-Base,nf4,Marathi,1.4147864610048189,1.3261442184448242,13.63394738401935
Qwen/Qwen3-1.7B-Base,nf4,Gujarati,1.4434130390404056,1.3261442184448242,13.126041880242468
Qwen/Qwen3-1.7B-Base,nf4,Punjabi,1.7442801914511399,1.3261442184448242,10.39549057357576
Qwen/Qwen3-1.7B-Base,nf4,Odia,1.4812343831767572,1.3261442184448242,12.655436607778148
Qwen/Qwen3-1.7B-Base,nf4,Tamil,1.1606869607446006,1.3261442184448242,14.714545382030941
Qwen/Qwen3-1.7B-Base,nf4,Telugu,1.3925093221237625,1.3261442184448242,13.461966996295448
Qwen/Qwen3-1.7B-Base,nf4,Kannada,1.3572059413316497,1.3261442184448242,14.815863437085387
Qwen/Qwen3-1.7B-Base,nf4,Malayalam,1.283591956122669,1.3261442184448242,13.771128661154686
